entity,code,year,All Ages,Under 5,5 to 14,15 to 49,50 to 69,Over 70
Afghanistan,AFG,2017,0.277,0.14,0.082,0.285,1.283,1.912
Albania,ALB,2017,1.423,0.911,0.396,0.786,2.421,3.576
Algeria,DZA,2017,0.534,0.127,0.104,0.394,1.327,2.126
American Samoa,ASM,2017,0.918,0.134,0.044,0.648,2.551,4.753
Andean Latin America,,2017,0.603,0.146,0.041,0.302,1.683,3.528
Andorra,AND,2017,3.436,1.139,0.404,1.448,5.785,10.304
Angola,AGO,2017,0.225,0.113,0.019,0.211,1.1,1.723
Antigua and Barbuda,ATG,2017,1.392,0.269,0.051,0.493,3.375,6.806
Argentina,ARG,2017,1.326,0.227,0.088,0.693,3.004,4.685
Armenia,ARM,2017,1.277,0.389,0.177,0.544,2.839,3.609
Australasia,,2017,4.415,1.096,0.454,1.461,7.574,14.829
Australia,AUS,2017,4.387,1.08,0.436,1.419,7.561,14.92
Austria,AUT,2017,3.471,0.801,0.402,1.251,5.687,9.03
Azerbaijan,AZE,2017,0.762,0.446,0.21,0.467,1.86,2.184
Bahamas,BHS,2017,1.46,0.154,0.039,0.805,3.598,6.432
Bahrain,BHR,2017,0.512,0.142,0.102,0.299,1.549,3.387
Bangladesh,BGD,2017,0.213,0.05,0,0.133,0.707,1.06
Barbados,BRB,2017,2.237,0.175,0.056,0.796,4.096,7.494
Belarus,BLR,2017,2.133,1.165,0.515,1.033,3.899,4.447
Belgium,BEL,2017,3.355,0.727,0.318,1.089,5.628,9.239
Belize,BLZ,2017,0.491,0.121,0.035,0.316,1.68,3.034
Benin,BEN,2017,0.212,0.145,0.019,0.162,1.038,1.918
Bermuda,BMU,2017,2.57,0.607,0.169,0.649,3.867,9.106
Bhutan,BTN,2017,0.192,0.02,0,0.117,0.746,1.312
Bolivia,BOL,2017,0.529,0.136,0.035,0.268,1.75,3.536
Bosnia and Herzegovina,BIH,2017,1.881,0.504,0.275,0.828,3.348,4.588
Botswana,BWA,2017,0.375,0.053,0.02,0.234,1.447,2.694
Brazil,BRA,2017,0.837,0.157,0.029,0.4,2.097,3.592
Brunei,BRN,2017,2.102,1.303,0.841,1.619,4.657,6.514
Bulgaria,BGR,2017,2.589,0.842,0.399,1.17,4.472,5.117
Burkina Faso,BFA,2017,0.258,0.188,0.018,0.224,1.124,1.921
Burundi,BDI,2017,0.209,0.158,0.019,0.171,1.021,1.62
Cambodia,KHM,2017,0.345,0.058,0.014,0.215,1.245,1.797
Cameroon,CMR,2017,0.233,0.132,0.019,0.175,1.149,2.127
Canada,CAN,2017,6.624,1.091,0.934,3.33,10.451,16.384
Cape Verde,CPV,2017,0.455,0.217,0.03,0.252,1.269,2.771
Caribbean,,2017,1.137,0.197,0.053,0.454,2.843,5.515
Central African Republic,CAF,2017,0.255,0.154,0.018,0.216,1.107,1.542
Central Asia,,2017,0.652,0.318,0.145,0.415,1.799,2.314
