entity,code,year,liver, kidney,larynx,breast,thyroid,bladder,uterine,ovarian,stomach,prostate,cervical,testicular,pancreatic,esophageal,nasopharynx,colon_and_rectum,nonmelanoma_skin,lip_and_oral_cavity,brain_and_nervous_system,trachael_bronchus_lung,gallbladder_and_biliary_tract
Afghanistan,AFG,2017,613,142,398,1296,93,302,88,195,3614,422,631,23,268,862,96,1249,42,134,961,1209,216
Albania,ALB,2017,308,83,88,224,17,43,34,49,446,339,56,8,234,59,14,293,46,52,214,1039,49
Algeria,DZA,2017,677,216,436,2233,195,560,113,367,1428,1005,710,22,903,319,475,1915,106,245,633,2758,1135
American Samoa,ASM,2017,4,0,0,6,0,1,2,3,5,5,2,0,2,1,1,5,0,1,1,10,0
Andean Latin America,,2017,3906,982,398,3260,528,738,918,1075,9130,4965,3466,123,2437,760,92,4352,533,578,1532,5198,1891
Andorra,AND,2017,4,4,1,14,0,7,1,5,8,14,1,0,11,4,1,21,1,2,5,35,2
Angola,AGO,2017,879,140,176,1049,42,257,111,208,698,671,1468,16,397,887,62,897,109,232,303,1135,130
Antigua and Barbuda,ATG,2017,6,2,2,13,1,2,2,3,9,25,5,0,5,3,0,11,1,2,2,8,1
Argentina,ARG,2017,2226,2292,919,6602,258,1656,859,1368,5295,4811,3029,198,4941,2373,104,9286,567,753,1626,11292,2903
Armenia,ARM,2017,413,107,102,516,26,202,84,113,527,251,154,6,388,70,8,529,39,49,205,1235,65
Australasia,,2017,2060,1588,293,4131,192,1505,630,1263,2233,4455,553,32,3618,1855,250,7614,910,798,1741,10957,845
Australia,AUS,2017,1766,1342,255,3394,165,1271,511,1051,1880,3754,471,22,3082,1582,221,6059,752,712,1473,9148,726
Austria,AUT,2017,932,572,137,1723,78,653,213,556,1095,1358,246,14,1809,374,72,2384,160,282,538,4203,412
Azerbaijan,AZE,2017,722,286,211,705,36,204,113,180,1740,388,268,4,505,749,21,780,78,114,415,1906,130
Bahamas,BHS,2017,20,7,10,72,2,6,10,14,29,80,24,0,15,19,2,55,3,10,8,49,7
Bahrain,BHR,2017,25,11,5,67,3,17,6,16,30,22,8,0,32,10,3,57,2,8,18,90,6
Bangladesh,BGD,2017,2864,578,2997,6927,547,1143,569,1258,7688,3175,3692,54,2159,3093,914,8147,667,4937,4132,25226,2304
Barbados,BRB,2017,21,11,7,74,3,11,16,14,41,132,29,0,29,20,3,89,3,9,9,40,7
Belarus,BLR,2017,454,619,343,1145,86,418,191,494,2123,926,454,14,1001,429,46,2428,158,439,442,3162,232
Belgium,BEL,2017,930,757,218,2490,99,1133,295,740,1304,2022,306,10,1951,833,111,3605,189,377,718,7243,359
Belize,BLZ,2017,22,4,4,16,1,4,5,4,22,37,23,0,13,6,1,21,2,4,7,31,3
Benin,BEN,2017,694,65,58,417,14,100,63,73,514,520,536,3,194,289,19,317,23,67,101,402,57
Bermuda,BMU,2017,4,3,2,11,1,5,2,4,6,20,2,0,11,5,0,21,1,3,3,27,1
Bhutan,BTN,2017,24,4,15,38,3,8,3,9,35,22,18,1,17,27,5,40,4,31,17,44,16
Bolivia,BOL,2017,769,176,110,700,111,178,212,206,2199,1031,870,21,471,200,22,844,102,122,268,1002,434
Bosnia and Herzegovina,BIH,2017,478,186,149,574,27,241,91,214,580,448,158,8,546,130,13,1215,56,94,368,2238,210
Botswana,BWA,2017,97,14,17,144,5,26,17,35,60,152,140,1,67,103,7,107,24,33,25,155,13
Brazil,BRA,2017,11851,3945,5005,18725,1090,4882,2522,4673,20708,19610,9721,347,12555,11065,534,22851,2796,5237,10114,32406,5203
Brunei,BRN,2017,37,9,2,38,2,7,4,16,32,13,18,0,16,6,9,62,1,9,13,86,9
Bulgaria,BGR,2017,798,325,370,1380,54,583,309,470,1343,1034,466,31,1262,250,41,2914,163,263,659,3781,249
Burkina Faso,BFA,2017,1426,97,125,1079,26,161,121,130,1063,784,1200,10,302,524,40,1009,40,118,415,626,112
Burundi,BDI,2017,248,33,77,359,29,63,50,90,305,301,584,4,98,360,55,296,38,103,123,269,36
Cambodia,KHM,2017,930,111,208,1085,93,239,177,280,1069,504,757,7,345,292,230,1152,87,267,319,2241,199
Cameroon,CMR,2017,1897,191,181,1145,39,286,155,214,1248,1395,1229,9,611,769,53,908,63,206,323,1160,145
Canada,CAN,2017,2519,1988,481,6022,245,2551,820,1900,4401,5340,957,37,5542,2388,148,10145,639,936,2107,21440,1483
Cape Verde,CPV,2017,46,7,4,30,1,10,8,6,76,68,26,0,31,46,1,33,2,13,13,49,4
Caribbean,,2017,2907,762,1541,5149,268,1331,1234,1039,3684,8842,3048,36,2467,1736,288,6735,717,1170,1274,10216,621
Central African Republic,CAF,2017,172,21,47,284,9,41,26,40,222,108,437,5,63,214,17,185,19,56,59,227,25
Central Asia,,2017,6699,1704,1236,6164,260,1446,1081,1652,10331,2416,2848,131,3463,4219,291,6105,537,1298,3212,11871,786
Central Europe,,2017,11225,8099,5013,20536,919,10120,3939,7782,18570,15866,6902,371,19596,5645,721,45941,2683,5389,9402,73025,6709
"Central Europe, Eastern Europe, and Central Asia",,2017,31361,22756,13126,59286,2843,22093,12265,20709,72844,34320,18094,917,48415,19896,1997,109261,6444,15078,22878,158134,12168
Central Latin America,,2017,13976,4542,2530,15682,1565,3000,2608,5199,21226,16904,11363,786,10118,3358,687,18272,2744,2309,5419,22611,5068
Central Sub-Saharan Africa,,2017,3877,494,770,5083,186,1077,539,936,3551,3090,7591,78,1496,3670,292,3885,491,1018,1275,4573,566
Chad,TCD,2017,844,59,81,406,15,123,64,65,702,647,714,6,167,283,26,392,28,86,124,588,71
Chile,CHL,2017,1350,911,170,1660,146,601,297,496,4150,2484,970,106,1565,885,26,2898,307,193,500,3612,2435
China,CHN,2017,418159,17168,19461,87564,6801,30643,12125,25040,355379,51718,45311,650,85101,212586,27853,187078,16040,20761,60696,692389,27967
Colombia,COL,2017,2253,637,537,3349,357,674,520,1115,5761,3705,2090,113,2123,881,142,4413,594,524,1329,5571,1245
Comoros,COM,2017,29,4,6,55,3,10,7,16,28,47,63,0,16,37,5,47,6,10,12,35,5
Congo,COG,2017,201,33,43,382,11,83,35,70,181,191,430,3,114,219,18,261,29,59,77,289,32
Costa Rica,CRI,2017,321,89,61,423,29,105,75,97,838,510,189,13,308,90,29,642,70,58,135,460,109
Cote d'Ivoire,CIV,2017,951,82,142,1185,35,236,92,208,507,1964,535,13,242,124,84,494,61,175,144,603,125
Croatia,HRV,2017,509,336,185,965,37,434,166,299,806,808,179,12,762,217,17,2181,115,191,504,2730,279
Cuba,CUB,2017,909,315,942,1730,98,701,575,344,986,3036,669,17,984,887,90,2953,390,552,586,5952,206
Cyprus,CYP,2017,78,31,16,172,8,80,24,50,119,169,22,0,126,21,5,214,17,19,62,420,32
Czechia,CZE,2017,909,1173,253,1725,82,853,379,765,1251,1572,499,31,2306,597,40,4411,209,424,727,5763,916
Democratic Republic of Congo,COD,2017,2493,277,481,3199,118,645,352,584,2371,2005,5113,52,841,2215,186,2386,318,633,793,2736,360
Denmark,DNK,2017,437,417,96,1308,39,630,146,448,570,1385,178,10,1117,447,49,2260,100,182,489,4101,215
Djibouti,DJI,2017,44,6,9,65,4,15,8,19,34,56,72,1,23,45,8,66,8,13,18,51,5
Dominica,DMA,2017,6,2,2,11,1,3,2,1,15,40,7,0,6,4,0,11,1,3,1,13,2
Dominican Republic,DOM,2017,712,86,143,798,41,106,108,129,651,1716,516,2,429,178,74,834,125,202,205,1182,89
East Asia,,2017,443133,18634,20430,93555,7248,32750,13018,26531,371288,55114,48100,694,89755,221066,29636,199982,16709,23647,63261,722056,29742
Eastern Europe,,2017,13438,12953,6876,32586,1665,10528,7245,11274,43943,16037,8344,414,25356,10032,984,57216,3225,8391,10265,73239,4672
Eastern Sub-Saharan Africa,,2017,12356,1467,2155,15068,1412,3171,1831,4297,10087,12058,18656,126,4638,12100,1891,14245,1812,3472,5758,10942,1894
Ecuador,ECU,2017,1156,247,111,877,183,181,309,314,2579,1491,918,40,647,207,26,1243,184,155,459,1291,452
Egypt,EGY,2017,12289,523,504,3585,194,3465,325,1176,1864,1279,449,13,1558,1045,85,2880,105,346,2260,4208,567
El Salvador,SLV,2017,391,69,52,376,30,72,116,118,773,427,451,6,260,88,30,495,55,69,172,525,175
England,,2017,3948,3805,714,11755,354,5200,1586,4245,6690,11075,1410,53,9211,7215,514,16684,987,1407,3585,31672,1673
Equatorial Guinea,GNQ,2017,45,8,5,52,2,9,5,11,20,30,48,1,25,45,2,42,4,10,13,47,6
Eritrea,ERI,2017,211,27,48,366,23,60,49,102,214,198,518,4,88,218,48,279,30,71,117,190,30
Estonia,EST,2017,94,121,34,221,15,102,44,102,289,241,62,2,251,63,6,439,29,51,83,654,48
Eswatini,SWZ,2017,82,9,13,62,3,12,9,17,41,55,79,1,35,87,5,61,11,20,15,87,6
Ethiopia,ETH,2017,1691,406,350,3898,660,798,327,1271,2210,1851,3672,22,1098,1840,414,3973,481,1029,1863,3035,658
Fiji,FJI,2017,62,5,8,120,8,11,21,8,37,43,78,3,25,17,4,59,4,18,12,55,8
Finland,FIN,2017,494,443,45,925,58,310,180,379,581,1031,110,6,1211,265,22,1366,61,138,365,2446,263
France,FRA,2017,8934,4583,1685,13603,534,6736,1818,4161,7386,11785,1872,94,12271,4365,680,21135,1250,2276,3946,37041,2183
Gabon,GAB,2017,87,15,18,117,4,42,10,23,59,86,95,1,57,91,6,114,13,27,29,138,13
Gambia,GMB,2017,391,9,7,66,3,15,9,13,52,47,77,1,27,20,5,54,6,14,11,69,13
Georgia,GEO,2017,441,144,186,765,31,231,171,189,851,313,244,32,329,153,17,634,105,152,234,1493,133
Germany,DEU,2017,8512,7333,1686,20302,953,7714,2157,6309,13519,16162,2591,177,19202,5991,666,30911,1231,2864,6294,51025,4986
Ghana,GHA,2017,2648,160,228,1695,27,357,342,300,1096,1459,1570,2,1176,577,26,1166,61,242,608,1015,172
Greece,GRC,2017,1527,682,381,2342,93,1412,286,680,1878,2145,337,22,2049,279,140,3150,249,241,1199,7576,512
Greenland,GRL,2017,4,3,1,5,0,2,0,3,8,3,3,0,11,8,3,16,0,2,1,50,2
Grenada,GRD,2017,9,2,3,20,1,4,7,5,14,43,10,0,11,9,1,21,2,4,3,19,2
Guam,GUM,2017,21,3,2,17,1,4,4,5,8,12,5,0,11,4,6,23,2,5,3,66,1
Guatemala,GTM,2017,1713,132,87,525,58,92,162,143,2025,881,864,34,356,177,49,687,152,102,245,692,193
Guinea,GIN,2017,2052,53,86,524,24,230,86,99,794,481,931,17,150,126,40,376,30,236,79,513,76
Guinea-Bissau,GNB,2017,135,11,12,84,3,16,12,13,99,62,117,1,31,55,4,64,3,13,18,68,9
Guyana,GUY,2017,31,9,7,63,4,8,18,21,40,87,59,1,25,10,2,58,4,9,9,45,8
Haiti,HTI,2017,430,107,198,900,50,162,191,148,994,1399,1062,6,201,232,52,700,61,157,185,811,144
High SDI,,2017,147794,66863,19745,181004,10019,85778,27717,60862,173901,152347,30707,1444,196275,77067,8489,348058,16465,32187,61861,635079,60103
High-income,,2017,129279,63430,18111,176147,9640,80937,26195,56790,164850,149547,30356,1545,187201,71644,6938,323570,15826,28013,57668,581572,59252
High-income Asia Pacific,,2017,46032,8974,1694,18580,2774,11147,3528,6554,68042,17239,5304,100,40359,14765,1360,68204,1889,5133,4514,100625,27063
High-middle SDI,,2017,233172,33905,26573,123362,7658,42981,18873,36370,257869,75359,42135,1770,106870,128225,16797,219167,14890,27204,61674,537220,32822
Honduras,HND,2017,151,71,59,401,46,86,253,193,411,377,149,2,242,89,41,409,66,88,140,468,209
Hungary,HUN,2017,881,788,494,2072,84,929,302,657,1621,1266,456,32,2032,634,86,5194,218,760,629,8471,720
Iceland,ISL,2017,16,28,3,38,5,21,4,14,28,63,5,0,47,20,1,64,2,7,25,143,7
India,IND,2017,35483,6757,34659,80224,6511,12789,8231,20622,81573,30386,45409,1324,30426,40584,10214,68596,7170,66289,26590,83891,30239
Indonesia,IDN,2017,16751,2088,2992,17519,1363,4634,2695,4766,15210,8640,9605,10,7174,1717,3723,14064,1624,2792,6803,37221,2975
Iran,IRN,2017,2568,775,1294,4310,274,1564,322,1133,9681,3430,726,74,2723,2816,122,5592,280,475,3154,7461,729
Iraq,IRQ,2017,764,229,280,1490,97,655,164,273,661,413,168,18,650,154,34,982,59,132,1311,2107,121
Ireland,IRL,2017,263,243,62,755,24,240,83,294,463,678,101,4,627,401,28,1164,86,93,280,2025,118
Israel,ISR,2017,376,312,89,1209,75,459,150,326,663,628,149,6,1074,153,36,1658,141,96,476,2191,142
Italy,ITA,2017,10616,4311,1595,13013,631,7634,1604,3838,12117,9713,1622,94,12681,2168,638,20982,1189,1878,4036,34099,4307
Jamaica,JAM,2017,113,33,51,399,19,63,93,82,267,630,217,2,125,91,15,414,16,38,44,557,43
Japan,JPN,2017,31970,7387,1233,14512,2039,9460,3099,5269,55885,14454,4074,88,34050,12807,937,57307,1475,4417,3101,79862,22033
Jordan,JOR,2017,143,57,36,491,26,142,45,83,217,193,48,8,211,56,30,535,24,60,178,682,70
Kazakhstan,KAZ,2017,972,490,245,1380,79,328,273,524,2182,495,661,35,948,1110,66,1807,99,360,459,3237,186
Kenya,KEN,2017,1271,115,366,1735,57,183,129,399,1913,1440,1550,21,667,1644,359,1618,258,433,511,1196,341
Kiribati,KIR,2017,8,1,1,9,0,1,2,1,7,2,19,1,2,3,1,6,0,5,1,10,1
Kuwait,KWT,2017,94,24,12,118,9,46,13,24,48,65,14,0,74,24,6,131,6,13,59,155,17
Kyrgyzstan,KGZ,2017,309,71,33,259,15,56,55,101,616,91,211,6,173,144,14,269,34,64,126,486,39
Laos,LAO,2017,406,47,71,373,31,92,56,99,352,192,255,3,130,106,79,393,33,81,146,863,67
Latin America and Caribbean,,2017,32816,10314,9552,43307,3492,10020,7362,12093,55181,50813,28077,1306,27852,17110,1610,52733,6857,9379,18436,71197,12889
Latvia,LVA,2017,143,182,79,396,24,212,112,198,489,362,88,5,393,124,9,714,59,100,144,966,54
Lebanon,LBN,2017,187,78,117,977,38,470,70,231,343,267,82,11,285,68,26,741,18,68,267,1316,130
Lesotho,LSO,2017,127,14,32,148,7,25,23,36,114,123,209,3,64,170,10,110,24,45,28,193,15
Liberia,LBR,2017,309,23,22,177,5,38,22,27,196,210,212,1,67,109,8,148,9,26,34,133,20
Libya,LBY,2017,276,74,134,411,24,200,41,115,279,170,106,6,293,76,84,583,20,56,301,929,116
Lithuania,LTU,2017,201,274,134,529,27,258,137,296,742,526,176,5,502,204,13,984,61,145,214,1396,108
Low SDI,,2017,41756,4974,18993,54826,4533,10874,6244,12132,63033,33768,49126,643,16979,30070,6818,51474,5039,27890,21627,70781,15216
Low-middle SDI,,2017,84639,10084,28194,108004,7272,22834,12742,27246,102676,63094,56568,1614,38096,53011,10894,85187,8806,56510,35528,124514,25574
Luxembourg,LUX,2017,48,18,10,106,6,42,17,40,54,72,12,1,98,29,5,162,8,16,45,283,16
Madagascar,MDG,2017,595,73,148,1022,64,161,136,265,707,694,1605,9,244,760,130,898,98,210,284,673,87
Malawi,MWI,2017,428,80,56,491,47,449,77,111,246,410,936,23,193,1758,40,405,87,150,128,402,62
Malaysia,MYS,2017,1700,295,305,2592,203,520,285,558,1599,910,1017,38,832,656,929,3707,189,549,546,4710,284
Maldives,MDV,2017,13,2,2,13,3,6,1,6,6,8,6,0,7,4,1,14,1,9,5,19,2
Mali,MLI,2017,2810,80,71,675,43,568,55,72,1205,445,629,13,235,194,43,547,42,111,96,535,79
Malta,MLT,2017,23,26,9,101,5,38,15,34,56,50,9,1,85,20,8,132,6,12,28,199,11
Marshall Islands,MHL,2017,5,0,1,5,0,1,1,1,5,2,4,0,2,1,1,4,0,1,1,8,0
Mauritania,MRT,2017,256,26,21,190,6,53,28,36,187,306,194,1,98,99,7,157,12,30,39,181,24
Mauritius,MUS,2017,62,18,18,182,6,29,27,41,104,80,46,1,74,37,12,175,6,40,26,189,18
Mexico,MEX,2017,7302,2783,1098,7624,845,1439,1004,2758,8118,7403,5196,547,5219,1445,261,8471,1295,1031,2626,9538,2534
Micronesia (country),FSM,2017,8,1,1,9,1,1,3,2,7,4,5,0,3,1,1,7,1,2,1,16,1
Middle SDI,,2017,304620,22324,32546,142495,11611,33424,19372,38843,261191,89984,80142,2174,81186,143887,26034,188396,19584,49436,65304,502909,39712
Moldova,MDA,2017,508,129,156,510,22,151,88,125,505,226,170,7,389,94,33,898,46,131,167,1058,43
