Entity,Code,Year,Prevalence - Neoplasms - Sex: Both - Age: Under 5 (Percent),Prevalence - Neoplasms - Sex: Both - Age: 70+ years (Percent),Prevalence - Neoplasms - Sex: Both - Age: 15-49 years (Percent),Prevalence - Neoplasms - Sex: Both - Age: 50-69 years (Percent),Prevalence - Neoplasms - Sex: Both - Age: 5-14 years (Percent),Prevalence - Neoplasms - Sex: Both - Age: All Ages (Percent)
Afghanistan,AFG,1990,0.21879130769400001,1.71501823117,0.27573331221200004,1.13952425307,0.08221811466340001,0.377740235642
Afghanistan,AFG,1991,0.200244243963,1.71824493185,0.26401009911400003,1.14909681764,0.0823987515889,0.367866394304
Afghanistan,AFG,1992,0.165107487565,1.7258143996000002,0.241484999377,1.1611226104699999,0.0794593786512,0.332800587913
Afghanistan,AFG,1993,0.155177041203,1.74028551959,0.22249856473700003,1.17474631873,0.0818954665674,0.307616477564
Afghanistan,AFG,1994,0.163520880655,1.7490727725800002,0.22044757925599998,1.1928536541900001,0.08242013233829999,0.305005104402
Afghanistan,AFG,1995,0.17017702296,1.75553389044,0.218297313791,1.2059545059999999,0.0830371456345,0.301715961341
Afghanistan,AFG,1996,0.165787756334,1.760691902,0.219041858811,1.208999194,0.0827950952828,0.295876051761
Afghanistan,AFG,1997,0.163635198278,1.7662264644099999,0.221389577788,1.21940826189,0.08010661969869999,0.291499709306
Afghanistan,AFG,1998,0.162170171391,1.7672128242400003,0.225156895918,1.23032297593,0.07948186315110001,0.288542386899
Afghanistan,AFG,1999,0.163391163979,1.79041314278,0.234021209098,1.2485090416,0.0794677457774,0.291944314752
Afghanistan,AFG,2000,0.159913269889,1.81189460633,0.25089739148400003,1.25756830658,0.0793271012612,0.295751795548
Afghanistan,AFG,2001,0.156189519768,1.8248089640599998,0.259025193923,1.2791216592999999,0.0820897713886,0.29682470129800004
Afghanistan,AFG,2002,0.147956932944,1.84380452333,0.262910370063,1.2970267499700001,0.0799344083529,0.289809218398
Afghanistan,AFG,2003,0.176769248656,1.85420247504,0.259964808553,1.31250543778,0.0892202718626,0.29075488858299997
Afghanistan,AFG,2004,0.191933230123,1.8631714454400001,0.266900531456,1.32882401089,0.0910821829383,0.293425925657
Afghanistan,AFG,2005,0.188741782169,1.8726441046800002,0.269169162101,1.3380040043499999,0.0903699390744,0.287955652083
Afghanistan,AFG,2006,0.184687339264,1.8784497655799999,0.273588563001,1.35793568871,0.0899740761537,0.28625426372699997
Afghanistan,AFG,2007,0.180058253925,1.88312230254,0.282055729271,1.3743918447699999,0.0892114357358,0.286803694286
Afghanistan,AFG,2008,0.160344009904,1.89107896309,0.28418364412999997,1.3937009282800001,0.0877532488525,0.281448209407
Afghanistan,AFG,2009,0.148197898212,1.89241332794,0.287347865769,1.40796541707,0.0844084607152,0.278236570485
Afghanistan,AFG,2010,0.148789595813,1.89462815023,0.288942045667,1.4086088937699999,0.0842410438389,0.277145215467
Afghanistan,AFG,2011,0.144287123546,1.8987588294000002,0.28870161826499996,1.4124776141900002,0.0847090540338,0.27516186684599997
Afghanistan,AFG,2012,0.136628423089,1.90215075452,0.289653858965,1.41171539005,0.0815243618554,0.273143528867
Afghanistan,AFG,2013,0.143992470012,1.9012178367,0.28764781240299997,1.40046572975,0.0841703859585,0.27424225863
Afghanistan,AFG,2014,0.14278539439299998,1.9048479532999998,0.286480507155,1.38072439253,0.0850758979838,0.274361047829
Afghanistan,AFG,2015,0.141043784853,1.90386945497,0.286732318001,1.34316752077,0.08189422211950001,0.27415770951
Afghanistan,AFG,2016,0.141794064325,1.9062549241900002,0.286967533404,1.31389117888,0.0832076902114,0.276344412903
Afghanistan,AFG,2017,0.140295336936,1.9120523404799998,0.28465339194,1.28286709085,0.0824471526317,0.27655034925300004
Albania,ALB,1990,0.511664542162,2.59669615044,0.459162390922,1.68251654064,0.216445527026,0.629152249616
Albania,ALB,1991,0.551534802522,2.6485624811700004,0.466633491209,1.6918347995800003,0.222242100324,0.645785350369
Albania,ALB,1992,0.556143283764,2.6562951448899996,0.47077496937,1.6834515687,0.22284604904,0.652119232596
Albania,ALB,1993,0.56130060701,2.65946559617,0.474409320571,1.68160366486,0.223681865681,0.6593763628120001
Albania,ALB,1994,0.564431152112,2.66878791414,0.479859448357,1.68173592057,0.23079987493999998,0.66967729408
Albania,ALB,1995,0.558447191876,2.7094737692199997,0.493650326297,1.71045600441,0.231475146627,0.687523403599
